company_id;account_id;keyword;is_regex;case_sensitive;match_type;pattern_description;priority
1;25;RAYA;0;0;contains;Location word: RAYA (from KF CAKRA RAYA);7
1;25;pc kfcakraraya;0;0;contains;Internal code: pc kfcakraraya;6
1;25;bs kfcakraraya;0;0;contains;Internal code: bs kfcakraraya;6
1;25;bo kfcakraraya;0;0;contains;Internal code: bo kfcakraraya;6
1;26;A_301I;0;0;contains;Exact code: A_301I;10
1;26;A301I;0;0;contains;Code without underscore: A301I;10
1;26;KF CAKRA RAYA;0;0;contains;Full location name: KF CAKRA RAYA;10
1;26;LIPH KF KF CAKRA RAYA;0;0;contains;LIPH prefix: LIPH KF KF CAKRA RAYA;9
1;26;LIPH KFKFCAKRARAYA;0;0;contains;LIPH no space: LIPH KFKFCAKRARAYA;8
1;26;CAKRA;0;0;contains;Location word: CAKRA (from KF CAKRA RAYA);7
1;26;RAYA;0;0;contains;Location word: RAYA (from KF CAKRA RAYA);7
1;26;pc kfcakraraya;0;0;contains;Internal code: pc kfcakraraya;6
1;26;bs kfcakraraya;0;0;contains;Internal code: bs kfcakraraya;6
1;26;bo kfcakraraya;0;0;contains;Internal code: bo kfcakraraya;6
1;26;RESEP KF CAKRA RAYA;0;0;contains;Resep location: RESEP KF CAKRA RAYA;8
1;27;A_31;0;0;contains;Exact code: A_31;10
1;27;A31;0;0;contains;Code without underscore: A31;10
1;27;KF KALI ABANG BEKASI;0;0;contains;Full location name: KF KALI ABANG BEKASI;10
1;27;LIPH KF KF KALI ABANG BEKASI;0;0;contains;LIPH prefix: LIPH KF KF KALI ABANG BEKASI;9
1;27;LIPH KFKFKALIABANGBEKASI;0;0;contains;LIPH no space: LIPH KFKFKALIABANGBEKASI;8
1;27;KALI;0;0;contains;Location word: KALI (from KF KALI ABANG BEKASI);7
1;27;ABANG;0;0;contains;Location word: ABANG (from KF KALI ABANG BEKASI);7
1;27;BEKASI;0;0;contains;Location word: BEKASI (from KF KALI ABANG BEKASI);7
1;27;pc kfkaliabangbekasi;0;0;contains;Internal code: pc kfkaliabangbekasi;6
1;27;bs kfkaliabangbekasi;0;0;contains;Internal code: bs kfkaliabangbekasi;6
1;27;bo kfkaliabangbekasi;0;0;contains;Internal code: bo kfkaliabangbekasi;6
1;28;A_311I;0;0;contains;Exact code: A_311I;10
1;28;A311I;0;0;contains;Code without underscore: A311I;10
1;28;KF SUZUKI PULOGADUNG;0;0;contains;Full location name: KF SUZUKI PULOGADUNG;10
1;28;LIPH KF KF SUZUKI PULOGADUNG;0;0;contains;LIPH prefix: LIPH KF KF SUZUKI PULOGADUNG;9
1;28;LIPH KFKFSUZUKIPULOGADUNG;0;0;contains;LIPH no space: LIPH KFKFSUZUKIPULOGADUNG;8
1;28;SUZUKI;0;0;contains;Location word: SUZUKI (from KF SUZUKI PULOGADUNG);7
1;28;PULOGADUNG;0;0;contains;Location word: PULOGADUNG (from KF SUZUKI PULOGADUNG);7
1;28;pc kfsuzukipulogadung;0;0;contains;Internal code: pc kfsuzukipulogadung;6
1;28;bs kfsuzukipulogadung;0;0;contains;Internal code: bs kfsuzukipulogadung;6
1;28;bo kfsuzukipulogadung;0;0;contains;Internal code: bo kfsuzukipulogadung;6
1;28;PPO;0;0;contains;PPO outlet identifier;9
1;29;A_32;0;0;contains;Exact code: A_32;10
1;29;A32;0;0;contains;Code without underscore: A32;10
1;29;KF JATI RAHAYU;0;0;contains;Full location name: KF JATI RAHAYU;10
1;29;LIPH KF KF JATI RAHAYU;0;0;contains;LIPH prefix: LIPH KF KF JATI RAHAYU;9
1;29;LIPH KFKFJATIRAHAYU;0;0;contains;LIPH no space: LIPH KFKFJATIRAHAYU;8
1;29;JATI;0;0;contains;Location word: JATI (from KF JATI RAHAYU);7
1;29;RAHAYU;0;0;contains;Location word: RAHAYU (from KF JATI RAHAYU);7
1;29;pc kfjatirahayu;0;0;contains;Internal code: pc kfjatirahayu;6
1;29;bs kfjatirahayu;0;0;contains;Internal code: bs kfjatirahayu;6
1;29;bo kfjatirahayu;0;0;contains;Internal code: bo kfjatirahayu;6
1;30;A_35;0;0;contains;Exact code: A_35;10
1;30;A35;0;0;contains;Code without underscore: A35;10
1;30;KDI MITRA PERKEBUNAN;0;0;contains;Full location name: KDI MITRA PERKEBUNAN;10
1;30;LIPH KF KDI MITRA PERKEBUNAN;0;0;contains;LIPH prefix: LIPH KF KDI MITRA PERKEBUNAN;9
1;30;LIPH KFKDIMITRAPERKEBUNAN;0;0;contains;LIPH no space: LIPH KFKDIMITRAPERKEBUNAN;8
